Wavelength Intensity
634.02 2162.79
633.974 2171.26
633.929 2089.27
633.883 2128.63
633.838 2225.32
633.792 2152.19
633.747 2193.73
633.701 2184.55
633.656 2261.33
633.61 2201.46
633.565 2242.96
633.519 2172.1
633.473 2112.27
633.428 2153.77
633.382 2221.67
633.337 2304.96
633.291 2176.92
633.246 2196.37
633.2 2209.21
633.155 2255.04
633.109 2151.29
633.063 2190.52
633.018 2198.96
632.972 2196.4
632.927 2268.58
632.881 2228.64
632.836 2175.54
632.79 2194.95
632.744 2137.48
632.699 2209.61
632.653 2167.52
632.608 2239.62
632.562 2215.1
632.517 2146.69
632.471 2267.04
632.425 2240.34
632.38 2182.93
632.334 2239.6
632.289 2252.39
632.243 2177.47
632.198 2302.08
632.152 2224.97
632.106 2226.8
632.061 2252.73
632.015 2230.45
631.97 2243.23
631.924 2183.72
631.879 2152.7
631.833 2285.91
631.787 2246.13
631.742 2197.6
631.696 2219.12
631.651 2192.5
631.605 2216.21
631.559 2233.34
631.514 2162.99
631.468 2236.98
631.423 2230.05
631.377 2258.1
631.331 2220.57
631.286 2231.13
631.24 2226.4
631.195 2202.0
631.149 2203.82
631.103 2260.23
631.058 2150.69
631.012 2135.05
630.967 2224.19
630.921 2195.46
630.875 2203.82
630.83 2212.19
630.784 2144.2
630.739 2141.67
630.693 2219.81
630.647 2162.76
630.602 2236.52
